Gene name,GBM12-EV,GBM12_shPDK1,GBM12_shPDK1 set2
DDX11L1,0.03,0.01,0
WASH7P,2.56,2.2,2.75
WASH7P,2.39,2,2.19
WASH7P,2.34,1.98,2.15
WASH7P,2.15,1.59,1.94
WASH7P,1.31,1.08,1.39
WASH7P,1.73,1.68,1.79
WASH7P,1.25,1.03,1.2
WASH7P,1.32,1.09,1.41
WASH7P,1.09,1.26,1.2
WASH7P,1.29,1.52,1.39
WASH7P,0.2,0.25,0.17
WASH7P,0.05,0.06,0.01
WASH7P,0.16,0.1,0.16
WASH7P,0.14,0.05,0.12
WASH7P,1.66,2.05,1.61
WASH7P,1.82,1.23,1.46
WASH7P,1.41,0.81,0.97
WASH7P,0.17,0.07,0.16
WASH7P,1.61,1.85,1.56
WASH7P,1.8,1.13,1.24
FAM138F,0.06,0.09,0.05
LOC729737,0.24,0.34,0.22
LOC100133331,0.25,0.37,0.23
LOC100132062,0.21,0.28,0.18
LOC100133331,0.26,0.27,0.23
LOC388312,0.19,0.34,0.21
LOC100133331,0.38,0.57,0.37
LOC100133331,0.37,0.61,0.37
LOC100133331,0.38,0.61,0.38
AK310751,0.21,0.33,0.24
LOC100288069,0.81,1.44,1.24
LINC00115,1.22,0.99,0.72
LOC643837,0.78,0.41,0.44
LOC643837,2.21,1.59,1.41
LOC643837,2.18,1.61,1.41
LOC643837,2.06,1.53,1.32
LOC643837,2.01,1.44,1.25
LOC643837,2.11,1.54,1.35
FAM41C,0.08,0.03,0.06
AK056486,1.18,1.9,0.56
LOC100130417,1.38,2.05,1.12
LOC100130417,1.24,1.92,0.98
SAMD11,24.25,105.12,35.92
SAMD11,33.25,140.02,55.19
SAMD11,23.99,119.52,44.34
SAMD11,24.19,120.58,44.54
SAMD11,19.53,97.1,36.74
SAMD11,34.07,141.74,56.01
SAMD11,36.07,148.24,59.06
SAMD11,33.3,137.87,55.12
SAMD11,34.01,139.32,56.06
SAMD11,33.61,137.94,55.31
SAMD11,34.62,143.1,56.64
SAMD11,33.43,139.74,55.18
SAMD11,31.72,131.81,52.28
SAMD11,34.86,144.12,57.25
SAMD11,34.13,142.42,56.28
SAMD11,31.23,129.3,51.71
SAMD11,34.02,140.02,56.41
SAMD11,34.99,142.07,57.32
SAMD11,36.01,146.84,59.47
SAMD11,32.98,137.05,54.56
SAMD11,33.46,139.2,55.32
SAMD11,32.35,133.98,53.48
SAMD11,33.85,140.55,55.71
SAMD11,35.82,146.96,58.49
SAMD11,34.83,142.75,57.34
SAMD11,41.04,155.45,63.52
SAMD11,40.66,153.55,62.68
SAMD11,34.51,143.18,56.85
SAMD11,35.1,145.33,57.78
SAMD11,34.35,143.55,56.77
SAMD11,35.08,144.64,57.66
SAMD11,32.72,134.18,53.5
SAMD11,22.34,115.68,43.58
SAMD11,38.02,151.95,62.18
NOC2L,47.58,68.71,46.67
NOC2L,34.63,39.57,30.79
NOC2L,57.42,63.68,50.9
NOC2L,55.55,62.67,49.53
NOC2L,5.54,4.46,4.16
KLHL17,9.36,16.81,13.77
KLHL17,6.29,11.63,9.88
KLHL17,6.13,12.12,9.85
KLHL17,10.38,18.43,14.72
KLHL17,4.78,8.3,7.3
PLEKHN1,0.06,0.14,0.18
PLEKHN1,0.06,0.14,0.18
PLEKHN1,0.06,0.14,0.16
C1orf170,0.69,0.62,1.28
C1orf170,0.51,0.53,1.21
HES4,13.52,17.36,26.28
HES4,13.64,17.65,26.66
ISG15,22.67,23.96,77.01
AGRN,71.42,128.35,78.51
AK310350,0.61,0.7,0.76
BC033949,0.74,0.67,1.21
RNF223,0.01,0,0
C1orf159,4.89,3.15,4.26
C1orf159,3.7,2.38,3.2
C1orf159,4.39,2.61,3.8
C1orf159,3.61,2.38,3.2
C1orf159,3.86,2.51,3.42
C1orf159,4.18,2.66,3.64
AK128833,0.11,0.19,0.11
TNFRSF18,0.05,0.03,0.11
TNFRSF18,0.08,0.02,0.12
TNFRSF18,0.08,0.02,0.12
TNFRSF18,0.08,0,0.13
TNFRSF4,0.06,0.04,0.07
TNFRSF4,0.02,0.03,0.03
SDF4,36.1,36.23,38.8
SDF4,105.14,102.83,112.81
SDF4,94.92,92.37,101.58
SDF4,91.94,89.75,98.2
SDF4,43.33,43.23,46.07
B3GALT6,14.4,6.44,6.73
FAM132A,0.54,0.75,0.68
UBE2J2,26.92,22.49,26.18
UBE2J2,28.34,23.51,27.27
UBE2J2,30.08,24.87,28.77
UBE2J2,27.46,22.78,26.48
UBE2J2,28.36,23.96,27.85
SCNN1D,2.39,4.38,3.37
SCNN1D,2.43,4.51,3.45
SCNN1D,2.56,4.74,3.7
SCNN1D,2.6,4.89,3.79
SCNN1D,2.58,4.83,3.79
ACAP3,60.81,49.24,52.74
ACAP3,44.6,36.53,38.43
ACAP3,64.55,51.98,55.74
ACAP3,34.27,29.69,29.61
PUSL1,26.57,22.46,33.49
PUSL1,26.96,22.35,33.68
PUSL1,13.72,11.22,16.89
CPSF3L,23.22,22.87,23.62
CPSF3L,29.77,28.27,30.39
CPSF3L,34.39,32.49,34.84
CPSF3L,36.47,34.36,36.95
CPSF3L,34.29,32.39,34.79
CPSF3L,33.06,31.36,33.6
CPSF3L,35.45,33.71,36.25
CPSF3L,28.38,27.11,29.16
CPSF3L,32.35,30.88,32.86
CPSF3L,11.79,13.01,12.66
CPSF3L,7.32,8.22,7.79
GLTPD1,14.08,11.6,15.34
TAS1R3,0.12,0.08,0.08
DVL1,54.35,55.52,62.51
DVL1,53.05,54.04,59.93
DVL1,57.15,58.34,64.05
MXRA8,1.43,4.13,1.97
MXRA8,1.04,3.24,1.53
MXRA8,1.04,3.33,1.52
MXRA8,1.11,3.5,1.66
MXRA8,0.99,2.96,1.39
AURKAIP1,122.09,82.21,122.99
AURKAIP1,113.83,76.57,115.23
AURKAIP1,106.22,71.93,107.16
AURKAIP1,93.99,63.1,93.96
CCNL2,38.46,41.55,33.11
CCNL2,42.2,46.73,36.55
CCNL2,41.29,42,34.42
CCNL2,43.24,43.42,36
CCNL2,43.41,43.53,36.06
CCNL2,42.86,44.65,35.54
LOC148413,12.63,7.56,8.39
LOC148413,12.7,7.66,8.49
MRPL20,60.8,31.42,37.79
MRPL20,16.95,9.78,11.5
ANKRD65,7.12,4.5,5.23
ANKRD65,8.81,5.68,6.66
ANKRD65,8.76,5.54,6.47
TMEM88B,0.24,0.73,0.36
VWA1,9.13,7.19,6.55
VWA1,8.57,6.69,6.21
ATAD3C,0.47,0.53,0.44
ATAD3B,7.36,5.81,6.43
ATAD3B,3.93,3.71,3.64
ATAD3B,7.16,6.1,6.48
ATAD3B,6.68,5.66,5.99
ATAD3A,24.75,17.14,23.02
ATAD3A,23.11,15.98,21.55
ATAD3A,23.47,16.27,22.06
AX747755,7.71,5.45,7.07
TMEM240,7.99,4.9,7.03
SSU72,87.81,69.32,71.09
SSU72,40.43,31.48,32.27
SSU72,18.28,9.85,12.55
HP08716,0.27,0.24,0.1
C1orf233,7.88,9.21,7.45
AK094692,0.7,1.16,0.78
MIB2,2.42,3.64,2.8
MIB2,22.5,26.07,30
MIB2,21.87,25.14,28.81
MIB2,22.39,25.62,29.54
MIB2,22.03,24.85,29
MIB2,21.28,24.67,28.3
MIB2,22.43,25.33,29.58
MIB2,20.71,24.4,27.97
MIB2,22.21,25.08,29.26
MIB2,23.22,26.03,30.77
MIB2,24.11,27.46,31.83
MIB2,17.3,20.59,23.1
MMP23B,0.17,0.07,0.05
MMP23B,0.08,0.03,0.02
CDK11B,54.51,48,54.45
CDK11B,54.8,47.42,53.01
CDK11B,52.88,46.33,52.06
CDK11B,58.08,50.75,56.77
CDK11B,54.68,47.77,53.56
CDK11B,58.13,50.23,56.72
CDK11B,46.94,40.93,46.47
CDK11B,52.34,45.26,51.16
CDK11B,58.94,51.41,58.37
CDK11B,0.56,0.37,0.06
CDC2L1,30.68,23.35,28.82
SLC35E2B,0.99,0.99,0.68
SLC35E2B,9.72,11.9,7.42
SLC35E2B,9.14,10.43,6.71
SLC35E2B,8.57,9.77,6.3
SLC35E2B,9.42,10.74,6.88
SLC35E2B,4.84,7.52,4.17
SLC35E2B,4.18,7.11,4.23
CDK11A,5.36,4.95,5.15
CDK11A,5.26,4.75,4.99
CDK11A,4.66,4.12,4.39
CDK11A,13.99,12.01,12.73
CDK11A,13.82,11.56,12.32
CDK11A,16.81,14.65,15.5
CDK11A,16.77,13.76,14.56
CDK11A,12.21,10.87,11.42
CDK11A,14.65,12.74,13.32
CDK11A,25.18,21.11,22.33
CDK11A,24.5,19.83,21.14
CDK11A,31.71,26.72,28.61
CDK11B,20.72,18.7,19.86
CDK11B,19.82,16.8,18.08
CDK11B,22.41,18.9,20.63
AK097814,4.16,4.96,3.14
SLC35E2,1.23,1.44,0.96
SLC35E2,6.22,6.66,4.35
NADK,21.49,23.58,21.89
NADK,25.62,27.68,25.99
NADK,24.54,26.58,25.01
NADK,19.62,21.38,19.98
NADK,23.5,24.54,24
GNB1,229.66,205.18,235.35
GNB1,217.82,194.72,222.92
CALML6,0.11,0.21,0.12
TMEM52,1.66,0.81,1.54
TMEM52,1.64,0.83,1.5
C1orf222,0,0.01,0.01
C1orf222,0,0,0.01
KIAA1751,0.22,0.22,0.18
KIAA1751,0,0.01,0.01
KIAA1751,0.51,0.69,0.48
AK054708,0.02,0.03,0.01
GABRD,0.01,0.01,0
PRKCZ,1.54,0.71,1.46
PRKCZ,1.77,0.79,1.64
PRKCZ,1.69,0.78,1.6
PRKCZ,1.78,0.82,1.69
PRKCZ,0.22,0.06,0.19
PRKCZ,1.83,0.88,1.82
PRKCZ,1.7,0.85,1.68
AX747530,0.31,0.31,0.36
C1orf86,13.66,12.63,15.62
C1orf86,15.67,14.56,18.2
C1orf86,14.89,13.37,17.4
C1orf86,10.24,9.66,12.07
C1orf86,58.02,57.84,68.14
C1orf86,51.21,51.29,61.55
BC018779,1.66,3.29,2
C1orf86,20.67,20.2,23.6
SKI,49.49,75.84,50.57
MORN1,2.04,2.43,1.67
MORN1,1.53,1.81,1.27
LOC100129534,0.61,0.16,0.34
MORN1,2.18,2.27,1.79
MORN1,1.08,1.21,0.92
RER1,58.93,44.84,54.45
RER1,54.6,41.67,49.91
PEX10,24.33,17.26,18.52
PEX10,25.32,17.92,19.28
PLCH2,0.02,0.04,0.04
PLCH2,0.01,0.05,0.04
PLCH2,0.01,0.05,0.04
PLCH2,0.01,0.04,0.04
PLCH2,0.01,0.04,0.03
PLCH2,0.02,0.05,0.04
PANK4,17.13,25.05,25.1
PANK4,16.66,24.35,24.56
HES5,0.84,0.82,3.54
LOC115110,0.04,0.04,0.05
LOC115110,0.03,0.03,0.04
LOC115110,0.03,0.04,0.03
LOC100133445,0.5,0.69,1.2
TNFRSF14,2.34,2.72,4.01
TNFRSF14,2.13,2.42,3.36
TNFRSF14,1.66,2.2,3.17
TNFRSF14,3.09,3.84,5.71
FAM213B,5.9,4.53,6.06
FAM213B,5.93,4.5,6.06
FAM213B,5.92,4.6,6.07
FAM213B,5.67,4.39,5.81
FAM213B,5.95,4.56,6.07
FAM213B,5.74,4.45,5.9
FAM213B,5.85,4.52,6.01
FAM213B,5.84,4.53,6.02
FAM213B,5.98,4.59,6.17
MMEL1,3.3,2.49,3.05
MMEL1,3.13,2.37,2.9
TTC34,0.01,0,0.01
FLJ42875,0.02,0.05,0.03
FLJ42875,0.46,0.27,0.12
PRDM16,1.84,2.28,1.07
PRDM16,1.85,2.29,1.07
PRDM16,1.84,2.27,1.07
PRDM16,1.84,2.28,1.07
ARHGEF16,0.04,0.02,0.03
ARHGEF16,0.05,0.02,0.03
ARHGEF16,0.04,0.02,0.03
ARHGEF16,0,0.01,0
ARHGEF16,0.04,0.03,0.02
MEGF6,0.07,0.05,0.18
MEGF6,0.06,0.05,0.18
TPRG1L,15.53,12.93,15.22
TPRG1L,15.42,12.84,14.83
TPRG1L,16.49,13.71,16.22
WRAP73,21.4,18.08,21.39
WRAP73,18.59,15.11,17.91
WRAP73,4,4.46,4.5
TP73,8.55,5.04,5.78
TP73,8.39,4.92,5.66
TP73,8.52,5.03,5.74
TP73,8.31,4.89,5.6
TP73,8.36,4.9,5.62
TP73,8.34,4.89,5.59
TP73,7.29,4.92,5.6
TP73,8.31,4.85,5.47
