,D425-Control,,,,,,D425-shOTX2 shRNA1 experiment 1,,,,,,D425-shOTX2 shRNA1 experiment 2,,,,,,D425-shOTX2 shRNA1 experiment 3,,,,,
,00hr,08hr,16hr,24hr,48hr,96hr,00hr,08hr,16hr,24hr,48hr,96hr,00hr,08hr,16hr,24hr,48hr,96hr,00hr,08hr,16hr,24hr,48hr,96hr
ALDOA,3512.8,3643.6,3334.8,3327.5,4278.9,3197.8,3288.3,3797.4,3397.6,3626.6,3423.4,2121,3325.6,2973.6,3194.8,3098.2,2693,1566.5,2856.8,2786.2,2826.3,2930.4,2607.3,1841.9
ALDOB,6.7,6.9,0.8,0.3,12.1,1,2.7,5.8,5.5,7,4.5,5.3,0.3,1.8,7.3,3.7,3.8,0.1,0.9,4.2,5.7,2.6,2.2,6.6
ALDOC,45.2,22.9,35.2,30.5,79.3,56.6,39.5,58.6,66,56.3,68.3,82.7,60.3,40.8,31.2,17.2,40.9,57.7,34.7,32.3,51.5,40,78,58.2
BPGM,100.8,114.6,101.1,102.5,99.6,103.6,140.9,113.4,128,140.6,137.4,180.1,147.7,138,121.6,126.7,135.3,184.6,131.9,139,111.6,114.8,162.8,167.4
ENO1,4175.3,4301.1,4109.6,4071.3,4264.5,3673.9,3758.7,3989.6,3856.1,3784.7,2928.3,1908.5,3859.1,3441.2,3650.4,3361.4,2439.2,1737.4,3506.9,3375.9,3264.2,3282.3,2369.7,1970.8
ENO2,233,175.9,282.5,269.6,226.8,271,414.6,244.4,234.7,186.2,201.3,179.1,216.8,176.3,150.5,66.6,151.1,151.7,138.9,163.8,212.2,169.1,131.2,165.3
ENO3,77.9,71.7,102.9,95.4,74.3,130.5,111.4,98.2,118.3,157.5,166,105.7,109.3,78.8,75.2,89.5,92.3,104.4,74.3,92.7,100.2,137.4,122.5,109.2
GALM,55.6,84.7,52.5,70.5,79.8,89.4,71.5,62.9,74.8,84.4,69.8,79.7,44.9,59.2,74.9,64.4,71.7,55.1,52.8,54.7,82.1,57.4,59,56.2
HK1,640.8,613.5,663.6,763.9,606.2,518.2,578.9,630,654.8,729.9,486.6,364.5,527.2,511.8,519.2,613.6,476.6,265.5,517.1,486.6,511.2,572.8,430.8,355.8
HK2,270.9,270.6,256.6,269.9,265.5,333.5,201,167.2,158.2,141.1,124.3,109.4,278.2,237.7,171.2,134.6,97.6,125.4,210.3,201.7,185,164.5,108.4,124.4
PFKL,125.3,126.1,111.7,119.1,128.5,121,135.8,151.2,153,149.7,113.6,70.2,89,72.1,87.3,85.3,70.6,58.8,79.9,86.1,87.3,87.7,58.4,48.9
PGAM1,3620.5,3939,3778,3768.3,4332.7,3068,3685,4019.4,3767.1,3777.1,3441.2,2464.6,3557.6,3498.2,3492.9,3601.9,3103,2265.7,3465.3,3315.3,3228.3,3249.1,2921.2,2423.4
