,D425-Control,,,,,,D425-shOTX2 shRNA1 experiment 1,,,,,,D425-shOTX2 shRNA1 experiment 2,,,,,,D425-shOTX2 shRNA1 experiment 3,,,,,
,00hr,08hr,16hr,24hr,48hr,96hr,00hr,08hr,16hr,24hr,48hr,96hr,00hr,08hr,16hr,24hr,48hr,96hr,00hr,08hr,16hr,24hr,48hr,96hr
SDHA,360.2,345.8,368.2,382.1,474.8,317.5,389.5,386.1,386.7,385.4,308.1,306.5,349.2,365.5,362.3,323.4,262.7,281.9,297.5,314.1,265.4,288.5,276.6,261.9
SDHB,626.3,647.2,641.5,681.4,575.6,530.8,658.2,589.7,617.6,663.6,418.1,325.5,676.9,663.9,666.5,683.3,471.9,343.6,595.1,648.5,637.4,605.3,455.4,381.9
SDHC,1007.2,915.4,866.1,777.1,844.9,845.8,943.2,965,1028.4,1054.9,994.1,818.5,590.6,945.9,816.5,974,935.9,695.7,976.8,946.2,947.2,968.3,904.6,840.6
SDHD,1323.5,1360.3,1307,1186.1,1093.3,1401,1185.5,1118.6,1310.7,1286.7,1078.1,761.2,1216.5,1395.6,1395.1,1546,1340.4,951.2,1471.1,1414.3,1456.3,1426.8,1211.2,1096.9
BCS1L,319.4,312.1,368.9,347.8,376.8,365.3,349.7,241,318.4,291.2,252,259,282.1,244.3,288.7,278.7,208.2,196.9,279.6,257.8,286.7,273,230.5,215.1
CYC1,1790.5,1774,1963.4,2186.8,1795.5,1682.9,1773.7,1601.4,1770,1763.3,1465.5,899.2,1233.1,1019.2,1262.7,1115.5,883.4,595.2,1108.8,1134.7,1242,1308.5,892.2,611.8
UQCRC1,1061.4,1030.5,1095.2,1174.8,1064.7,916.4,1046.8,1002.6,1042.2,1119,1018.3,921.3,742.2,596.4,800,803.9,753.6,552,708.8,783.9,799.5,800.9,759.8,570.3
UQCRC2,2120.9,2069.9,2241.6,2269.4,2556.9,2483.4,2024.9,1920.4,2037.1,2254.7,2325.7,2073.9,2475.6,2502.8,2637.9,2707,2707.9,2434.8,2393.4,2367.9,2667.6,2661.6,2780.2,2511.5
UQCRFS1,1515,1399.1,1625.5,1550.5,1743.1,1367.4,1979.5,1954.1,2000.4,2217.3,2060.1,1743,2244,1834.4,1999,2018.8,2241,1603.4,1978.9,1771.8,1955.7,2073.9,1999.2,1667.7
UQCRH,4374.4,4988.7,4896.2,4744,6032.5,4062.6,4315.2,4360.5,4346.7,4295.1,4046.8,3315,4650.6,4381.8,4710.6,4395.2,4180.7,3184,4117.5,4229.7,4187.8,4333.4,4013,3346.6
UQCRQ,1777.6,1733.1,1791.5,1736.8,1967.2,1295.9,1805.2,1790.8,1735.5,1766.3,1378.9,1209.7,1840.4,1850.3,1745.9,1846.3,1669.3,1100.5,1880.1,1910.1,1728.1,1683.9,1533.2,1281.3
COX4I1,4477.7,4940.2,4702.2,4683,4605.1,4344.7,3704.4,4031.1,3788.9,3939.8,3802.8,3291.3,3980.7,3989.9,4016,4166.4,3911.5,3288.5,3706.5,3798.9,3765.3,4002.1,3870.5,3379.5
COX4I2,27.6,35.1,32.3,17.3,52.6,7.7,41.9,60.2,17.4,46.2,32.5,39.8,28.5,34.2,37.1,42.3,39.7,17.6,33.9,32.4,34.2,12.4,21.1,16.8
COX5A,2850.7,2845.1,2760.8,2832.5,2872.1,3102,2555.4,2532.1,2703.2,2709.7,2365.4,2002.7,2252.4,2431.6,2253.2,2595.2,2269.8,1826.8,2443,2401.9,2315.7,2532.2,2261.7,1860.6
COX5B,2232.5,2392.7,2419.4,2490.6,2157.1,2325.3,2231.3,2261.2,2401.1,2386.5,2228.3,1736.4,2358.1,2226.5,2522.6,2540.2,2352,1688,2212,2288.2,2424.7,2523.6,2180.8,1840.3
COX6A1,3981.6,4516.1,4157.1,4269.1,4303.8,3597,4428.6,4691.6,4813.1,4816.5,4560.1,3813.9,4784.2,4498.3,5104,4948.1,4756.8,3527.7,4325.8,4246,4313.1,4861,4380.3,3676.5
COX6A2,17.1,16.4,27.4,15.7,44.8,12.5,15.1,17.2,23.7,19,28.7,28.2,22.2,17.9,19.5,22.6,32,14.6,18.2,3.6,23.6,18.9,10.3,17.2
COX6B1,1640.7,1744.6,1793.7,1774,1841.7,1629.1,1668.8,1722,1754.3,1911.4,1809.9,1619,1986.6,1790.2,1829.3,2001.6,2080.1,1528.2,1812.8,1720,1797.3,1865.9,1927.3,1626
COX6C,3746.3,4173.8,4110.4,3992.8,5037.9,3724.8,3836.1,3819.8,4188,4333.9,4254.6,3481.2,4051.6,3904.9,4334.8,4449.4,4550.4,3395.2,3919.9,3868.8,3917.4,4390.5,4084.7,3422
COX7A2,3017.9,3140.6,3149.5,2785.2,2570.9,2652.6,2862.3,2893.5,3022.9,3113.1,3076.8,2722.5,3454.1,3509.3,3149.7,3724.3,4013.1,2927.9,3099.5,3255.2,3098.7,3394.9,3464,3201
COX7A2L,1589.9,1718.6,1913.5,1796.7,2202.1,1856.5,1478.8,1651,1762.1,1887.4,2131.5,2008,1832.8,1706.4,1877.5,1875.6,2373.2,2088.3,1763.3,1809.2,2033.5,2007.8,2452.3,2064.7
COX7B,3352.7,4378.5,3585.2,3472.3,4469.9,3150,3307.8,3492.8,3731.1,3676.4,3515.3,2829.5,3671.7,3845.6,4225.4,4128.7,3949.9,2703,3576.1,3589.5,3588,3913.1,3589.7,3023.6
COX8A,2567.8,2670.5,2870.4,2871.7,3041.9,1842.1,2401.7,2717.9,2567.2,2693.3,2316.8,1768.5,2410.3,2207.9,2570,2563.6,2230.4,1553.5,2419.3,2586.1,2471.3,2234,2177.6,1724.7
ATP5A1,5804.4,6345.3,5973.4,6014.7,7008.7,5821.1,5211.5,5846.2,5224.5,5477.6,5529,5060.7,6368.9,6460.8,6359.4,5939.8,6037.7,5439.1,5527.8,5539.6,5246.6,5692,5768.5,5139.1
ATP5B,3451.8,3890.9,3860.9,4086.3,4434.7,3561.6,3589.1,3785.3,3922.3,4009.4,3896.8,3159.2,3573.6,3120.2,3653.5,3553.4,3474.8,2774.2,3368.7,3188.6,3366.6,3547.7,3262.2,2822.4
ATP5C1,4929.4,5397.6,5097.7,5203.4,6949.9,4832.3,4311.3,4690.1,4428.1,4923.3,5123.3,4594.7,4649.3,4383.9,4687.2,4844.8,5621.8,4303,4323.4,4120.9,4305.6,4661.3,5115.1,4227.9
ATP5F1,4857.5,4647.5,5032.1,5074,5038.1,4539.4,4097.6,4384.4,4058.9,4535.3,4044.2,3539.3,4547.8,4655.1,4394.3,4546.3,4527.1,3870.9,4423.1,4164.9,4340.5,4256.6,4104,3777.6
ATP5G1,1373.1,1407,1559.4,1639.3,1603.8,1195.8,1619.4,1439.3,1361,1494.4,970.4,554,1676.7,1574.6,1461.7,1493.3,1034.4,733.7,1518.8,1666.3,1490,1577.8,996.5,818.2
ATP5G2,3304.7,3624,3343.2,3342.5,4091,3273.4,2713.1,3053.8,3164.7,3303.3,3248.9,2784.5,2989.8,2875.8,3276.1,2994.4,3577.9,2522.8,2820.8,2952,2937.3,3228.9,3404.2,2665.6
ATP5G3,3267.6,3336.6,3638.7,3407.9,3919.6,3404.4,2861.4,3129.4,2976.7,3345.8,3267.1,2587.1,2728.2,3263.6,3039.1,3418.9,3201.9,2375.3,3245.8,3189.7,3087.9,3192,3011.3,2476.6
ATP5H,4406,4927.8,4946.4,4607.5,5386.6,4343.6,4625.8,4996.8,4752.4,4611.8,4257.9,3783.5,4741,4532.9,4464.4,4354.7,4428,3467.4,4242.1,4091.2,4174.6,4534.4,4140.9,3529.2
ATP5I,3175.1,3342.6,2703.8,2340.4,2532.1,2462.9,3073.8,3226.3,3273.1,3394.2,2536.1,2090.6,3528.1,3362.4,3285.7,3450.4,2997.5,1866.7,3220.5,3020.3,2725.1,2600.7,2623,2123.9
ATP5J,2553.7,2821.1,2668.1,2224.6,2712.7,2582.9,2539.5,2517.5,2825.1,2635.7,2428.8,2453,2470.1,2647.9,2567.4,2682.6,2721.5,2192.8,2712.3,2556.9,2607.3,2577.9,2578.9,2432
ATP5J2,2181.6,2339.2,2216.1,2147.3,2625.4,1671.2,2151.3,2182,2212.2,2211.8,1816.1,1683.9,2270.6,1856.6,2266.8,2327.3,1771.2,1416.5,2103.3,2096.1,2019.3,2051.3,1713.3,1651.3
